,label_fr,description,description_tokens,description_wosw,description_lemmas,simple,simple_tokens,simple_wosw,simple_lemmas,fautes,fautes_tokens,fautes_wosw,fautes_lemmas
93,asthme bronchique,"J'ai cette toux qui dure depuis des jours et j'ai du mal à respirer. Ma fièvre est très élevée, et je me sens tellement faible et fatigué. J'ai aussi produit beaucoup de mucus quand je tousse, et c'est juste tellement écrasant de gérer tous ces symptômes. Je suis tellement frustré par tout cela.","J' ai cette toux qui dure depuis des jours et j' ai du mal à respirer . Ma fièvre est très élevée , et je me sens tellement faible et fatigué . J' ai aussi produit beaucoup de mucus quand je tousse , et c' est juste tellement écrasant de gérer tous ces symptômes . Je suis tellement frustré par tout cela .","toux dure jours mal respirer . fièvre élevée , sens faible fatigué . produit beaucoup mucus tousse , écrasant gérer symptômes . frustré .","je avoir ce toux qui dure depuis un jour et je avoir de mal à respirer . mon fièvre être très élevé , et je me sentir tellement faible et fatigué . je avoir aussi produire beaucoup de mucus quand je tousser , et ce être juste tellement écraser de gérer tout ce symptôme . je être tellement frustrer par tout celer .","J'ai une toux qui dure depuis des jours et j'ai du mal à respirer. J'ai beaucoup de fièvre et je suis très fatigué. J'ai aussi craché beaucoup de mucus quand je tousse, et c'est tellement difficile de gérer tout ça. Je suis tellement frustré par tout ça.","J' ai une toux qui dure depuis des jours et j' ai du mal à respirer . J' ai beaucoup de fièvre et je suis très fatigué . J' ai aussi craché beaucoup de mucus quand je tousse , et c' est tellement difficile de gérer tout ça . Je suis tellement frustré par tout ça .","toux dure jours mal respirer . beaucoup fièvre fatigué . craché beaucoup mucus tousse , difficile gérer . frustré .","je avoir un toux qui dure depuis un jour et je avoir de mal à respirer . je avoir beaucoup de fièvre et je être très fatiguer . je avoir aussi craché beaucoup de mucus quand je tousser , et ce être tellement difficile de gérer tout cela . je être tellement frustrer par tout cela .","J'ai une tou qui dure depuis des jours et j'ai du mal à respiré. J'ai beaucou de fièvre et je sui tré fatigué. J'ai aussi craché beaucou de mucus quand je tousse, et sa tré difficile de géré tout sa. Je sui tré frustré par tout sa.","J' ai une tou qui dure depuis des jours et j' ai du mal à respiré . J' ai beaucou de fièvre et je sui tré fatigué . J' ai aussi craché beaucou de mucus quand je tousse , et sa tré difficile de géré tout sa . Je sui tré frustré par tout sa .","tou dure jours mal respiré . beaucou fièvre sui tré fatigué . craché beaucou mucus tousse , tré difficile géré . sui tré frustré .","je avoir un tou qui dure depuis un jour et je avoir de mal à respirer . je avoir beaucou de fièvre et je sui trer fatigué . je avoir aussi cracher beaucou de mucus quand je tousser , et son tré difficile de géré tout son . je sui trer frustrer par tout son ."
362,réaction médicamenteuse,"Je n'ai plus envie de faire l'amour, et c'est difficile pour moi de le faire. J'ai régulièrement un brouillard mental et une sensation de confusion.","Je n' ai plus envie de faire l' amour , et c' est difficile pour moi de le faire . J' ai régulièrement un brouillard mental et une sensation de confusion .","envie faire amour , difficile faire . régulièrement brouillard mental sensation confusion .","je ne avoir plus envie de faire le amour , et ce être difficile pour moi de le faire . je avoir régulièremer un brouillard mental et un sensation de confusion .","Je n'ai plus envie de faire l'amour, et c'est difficile pour moi. J'ai souvent un brouillard mental et je suis confus.","Je n' ai plus envie de faire l' amour , et c' est difficile pour moi . J' ai souvent un brouillard mental et je suis confus .","envie faire amour , difficile . brouillard mental confus .","je ne avoir plus envie de faire le amour , et ce être difficile pour moi . je avoir souvent un brouillard mental et je être confus .","Je n'ai plus envi de faire l'amour, et sai difficile pour moi. J'ai souvent un brouillard mental et je sui confu.","Je n' ai plus envi de faire l' amour , et sai difficile pour moi . J' ai souvent un brouillard mental et je sui confu .","envi faire amour , sai difficile . brouillard mental sui confu .","je ne avoir plus envi de faire le amour , et sai difficile pour moi . je avoir souvent un brouillard mental et je sui confu ."
375,infection fongique,"Sur tout mon corps, il y a eu des démangeaisons sévères suivies d'une éruption cutanée rouge et bosselée. Ma peau a également quelques taches foncées et quelques petites éruptions nodulaires. Cela dure depuis plusieurs jours et empire.","Sur tout mon corps , il y a eu des démangeaisons sévères suivies d' une éruption cutanée rouge et bosselée . Ma peau a également quelques taches foncées et quelques petites éruptions nodulaires . Cela dure depuis plusieurs jours et empire .","corps , démangeaisons sévères suivies éruption cutanée rouge bosselée . peau taches foncées petites éruptions nodulaires . dure jours empire .","sur tout mon corps , il y avoir avoir un démangeaison sévère suivre de un éruption cutané rouge et bosselée . mon peau avoir également quelque tache foncer et quelque petit éruption nodulaire . celer dur depuis plusieurs jour et empire .","J'ai des démangeaisons partout sur mon corps, suivies d'une éruption rouge et bosselée. Ma peau a aussi des taches foncées et des petites bosses. Ça dure depuis plusieurs jours et ça empire.","J' ai des démangeaisons partout sur mon corps , suivies d' une éruption rouge et bosselée . Ma peau a aussi des taches foncées et des petites bosses . Ça dure depuis plusieurs jours et ça empire .","démangeaisons partout corps , suivies éruption rouge bosselée . peau taches foncées petites bosses . dure jours empire .","je avoir un démangeaison partout sur mon corps , suivie de un éruption rouge et bosselée . mon peau avoir aussi un tache foncer et de petit bosse . cela dur depuis plusieurs jour et cela empire .","J'ai des démangeaisons partou sur mon corps, suivi d'une éruption rouge et bosselé. Ma peau a aussi des taches foncé et des petites bosses. Sa dure depuis pluieur jours et sa empire.","J' ai des démangeaisons partou sur mon corps , suivi d' une éruption rouge et bosselé . Ma peau a aussi des taches foncé et des petites bosses . Sa dure depuis pluieur jours et sa empire .","démangeaisons partou corps , suivi éruption rouge bosselé . peau taches foncé petites bosses . dure pluieur jours empire .","je avoir un démangeaison partou sur mon corps , suivre de un éruption rouge et bosselé . mon peau avoir aussi un tache foncé et de petit bosse . son dure depuis pluieur jour et son empire ."
671,typhoïde,"J'ai aussi eu de la diarrhée et de la constipation, ce qui est vraiment inquiétant. C'est comme une douleur vive et perçante dans la région du ventre. Je me sens fatigué tout le temps.","J' ai aussi eu de la diarrhée et de la constipation , ce qui est vraiment inquiétant . C' est comme une douleur vive et perçante dans la région du ventre . Je me sens fatigué tout le temps .","diarrhée constipation , vraiment inquiétant . douleur vive perçante région ventre . sens fatigué temps .","je avoir aussi avoir de le diarrhée et de le constipation , ce qui être vraiment inquiétant . ce être comme un douleur vif et perçant dans le région de ventre . je me sentir fatiguer tout le temps .","J'ai aussi eu de la diarrhée et de la constipation, c'est vraiment inquiétant. C'est comme une douleur vive et perçante dans le ventre. Je me sens fatigué tout le temps.","J' ai aussi eu de la diarrhée et de la constipation , c' est vraiment inquiétant . C' est comme une douleur vive et perçante dans le ventre . Je me sens fatigué tout le temps .","diarrhée constipation , vraiment inquiétant . douleur vive perçante ventre . sens fatigué temps .","je avoir aussi avoir de le diarrhée et de le constipation , ce être vraiment inquiétant . ce être comme un douleur vif et perçant dans le ventre . je me sentir fatiguer tout le temps .","J'ai aussi eu de la diaré et de la constipation, c'est vraimen inquiétan. C'est comme une douleur vive et perçante dans le ventre. Je me sens fatigué tou le temp.","J' ai aussi eu de la diaré et de la constipation , c' est vraimen inquiétan . C' est comme une douleur vive et perçante dans le ventre . Je me sens fatigué tou le temp .","diaré constipation , vraimen inquiétan . douleur vive perçante ventre . sens fatigué tou temp .","je avoir aussi avoir de le diaré et de le constipation , ce être vraimen inquiétan . ce être comme un douleur vif et perçant dans le ventre . je me sentir fatiguer tou le temp ."
284,dengue,J'ai développé des éruptions cutanées sur mon corps qui démangent. J'ai perdu l'appétit et je me sens très fatigué toute la journée. Je sens que quelque chose ne va pas avec mon corps.,J' ai développé des éruptions cutanées sur mon corps qui démangent . J' ai perdu l' appétit et je me sens très fatigué toute la journée . Je sens que quelque chose ne va pas avec mon corps .,développé éruptions cutanées corps démangent . perdu appétit sens fatigué journée . sens chose corps .,je avoir développer un éruption cutaner sur mon corps qui démanger . je avoir perdre le appétit et je me sentir très fatiguer tout le journée . je sentir que quelque chose ne aller pas avec mon corps .,J'ai des boutons sur mon corps qui me démangent. Je n'ai plus envie de manger et je suis très fatigué toute la journée. Je sens que quelque chose ne va pas avec mon corps.,J' ai des boutons sur mon corps qui me démangent . Je n' ai plus envie de manger et je suis très fatigué toute la journée . Je sens que quelque chose ne va pas avec mon corps .,boutons corps démangent . envie manger fatigué journée . sens chose corps .,je avoir un bouton sur mon corps qui me démanger . je ne avoir plus envie de manger et je être très fatiguer tout le journée . je sentir que quelque chose ne aller pas avec mon corps .,J'ai des bouton sur mon cor qui me démange. J'ai plus envi de manger et je sui trè fatigué toute la journé. Je sen que quelque chose ne va pa avec mon cor.,J' ai des bouton sur mon cor qui me démange . J' ai plus envi de manger et je sui trè fatigué toute la journé . Je sen que quelque chose ne va pa avec mon cor .,bouton cor démange . envi manger sui trè fatigué journé . sen chose pa cor .,je avoir un bouton sur mon cor qui me démange . je avoir plus envi de manger et je sui trè fatiguer tout le journé . je sen que quelque chose ne aller per avec mon cor .
184,varicelle,Mes bras et mon cou ont de gros ganglions lymphatiques qui me démangent quand je les touche. Les démangeaisons rendent ma journée extrêmement inconfortable.,Mes bras et mon cou ont de gros ganglions lymphatiques qui me démangent quand je les touche . Les démangeaisons rendent ma journée extrêmement inconfortable .,bras cou gros ganglions lymphatiques démangent touche . démangeaisons rendent journée extrêmement inconfortable .,Mes bras et mon cou avoir de gros ganglion lymphatique qui me démanger quand je le touche . le démangeaison rendre mon journée extrêmement inconfortable .,J'ai de gros ganglions sur mes bras et mon cou qui me démangent quand je les touche. Les démangeaisons rendent ma journée très difficile.,J' ai de gros ganglions sur mes bras et mon cou qui me démangent quand je les touche . Les démangeaisons rendent ma journée très difficile .,gros ganglions bras cou démangent touche . démangeaisons rendent journée difficile .,je avoir de gros ganglion sur mon bras et mon cou qui me démanger quand je le touche . le démangeaison rendre mon journée très difficile .,J'ai de gro ganglions sur mes bras et mon cou qui me démange quand je les touche. Les démangeaison rende ma journé tré difficile.,J' ai de gro ganglions sur mes bras et mon cou qui me démange quand je les touche . Les démangeaison rende ma journé tré difficile .,gro ganglions bras cou démange touche . démangeaison rende journé tré difficile .,je avoir de gro ganglion sur mon bras et mon cou qui me démange quand je le touche . le démangeaison rend mon journer trer difficile .
616,psoriasis,"La peau autour de ma bouche, de mon nez et de mes yeux est rouge et enflammée. Elle est souvent démangeante et inconfortable. Il y a une inflammation visible dans mes ongles.","La peau autour de ma bouche , de mon nez et de mes yeux est rouge et enflammée . Elle est souvent démangeante et inconfortable . Il y a une inflammation visible dans mes ongles .","peau autour bouche , nez yeux rouge enflammée . démangeante inconfortable . inflammation visible ongles .","le peau autour de mon bouche , de mon nez et de mon oeil être rouge et enflammée . lui être souvent démangeant et inconfortable . il y avoir un inflammation visible dans mon ongle .","La peau autour de ma bouche, de mon nez et de mes yeux est rouge et enflée. Ça me démange et c'est inconfortable. Mes ongles sont aussi enflés.","La peau autour de ma bouche , de mon nez et de mes yeux est rouge et enflée . Ça me démange et c' est inconfortable . Mes ongles sont aussi enflés .","peau autour bouche , nez yeux rouge enflée . démange inconfortable . ongles enflés .","le peau autour de mon bouche , de mon nez et de mon oeil être rouge et enfler . ça me démange et ce être inconfortable . mon ongle être aussi enfler .","La peau autour de ma bouche, de mon nez et de mes yeux est rouge et enflé. Sa me demange et c'est inconfortable. Mes ongle son aussi enflé.","La peau autour de ma bouche , de mon nez et de mes yeux est rouge et enflé . Sa me demange et c' est inconfortable . Mes ongle son aussi enflé .","peau autour bouche , nez yeux rouge enflé . demange inconfortable . ongle enflé .","le peau autour de mon bouche , de mon nez et de mon oeil être rouge et enfler . son me demange et ce être inconfortable . Mes ongle son aussi enfler ."
598,pneumonie,"J'ai une très forte fièvre et j'ai du mal à respirer. Je suis trempé de sueur et je frissonne. Je suis très fatigué, et mon cœur bat vite. Je m'attends aussi à tousser des mucosités brunâtres.","J' ai une très forte fièvre et j' ai du mal à respirer . Je suis trempé de sueur et je frissonne . Je suis très fatigué , et mon cœur bat vite . Je m' attends aussi à tousser des mucosités brunâtres .","forte fièvre mal respirer . trempé sueur frissonne . fatigué , cœur vite . attends tousser mucosités brunâtres .","je avoir un très fort fièvre et je avoir de mal à respirer . je être tremper de sueur et je frissonn . je être très fatigué , et mon cœur battre vite . je me attendre aussi à tousser un mucosité brunâtre .","J'ai une très forte fièvre et j'ai du mal à respirer. Je suis trempé de sueur et je frissonne. Je suis très fatigué, et mon cœur bat très vite. Je vais aussi tousser de la morve marron.","J' ai une très forte fièvre et j' ai du mal à respirer . Je suis trempé de sueur et je frissonne . Je suis très fatigué , et mon cœur bat très vite . Je vais aussi tousser de la morve marron .","forte fièvre mal respirer . trempé sueur frissonne . fatigué , cœur vite . tousser morve marron .","je avoir un très fort fièvre et je avoir de mal à respirer . je être tremper de sueur et je frissonn . je être très fatigué , et mon cœur battre très vite . je aller aussi tousser de le morve marron .","J'ai une tré forte fièvre et j'ai du mal a respiré. Je suis trempé de sueur et je frissonne. Je suis tré fatigué, et mon cœur bat tré vite. Je vais aussi tousser de la morve marron.","J' ai une tré forte fièvre et j' ai du mal a respiré . Je suis trempé de sueur et je frissonne . Je suis tré fatigué , et mon cœur bat tré vite . Je vais aussi tousser de la morve marron .","tré forte fièvre mal respiré . trempé sueur frissonne . tré fatigué , cœur tré vite . tousser morve marron .","je avoir un tré fort fièvre et je avoir de mal avoir respirer . je être tremper de sueur et je frissonn . je être trer fatigué , et mon cœur battre trer vite . je aller aussi tousser de le morve marron ."
153,varicelle,"J'ai eu une forte fièvre ces derniers jours. Je ne sais pas ce qui la cause. De plus, j'ai remarqué des éruptions cutanées sur ma peau et il m'est difficile de ne pas me gratter.","J' ai eu une forte fièvre ces derniers jours . Je ne sais pas ce qui la cause . De plus , j' ai remarqué des éruptions cutanées sur ma peau et il m' est difficile de ne pas me gratter .","forte fièvre derniers jours . sais cause . , remarqué éruptions cutanées peau difficile gratter .","je avoir avoir un fort fièvre ce dernier jour . je ne savoir pas ce qui le cause . de plus , je avoir remarquer un éruption cutaner sur mon peau et il me être difficile de ne pas me gratter .","J'ai eu une forte fièvre ces derniers jours. Je ne sais pas ce qui la cause. De plus, j'ai remarqué des éruptions cutanées sur ma peau et il m'est difficile de ne pas me gratter.","J' ai eu une forte fièvre ces derniers jours . Je ne sais pas ce qui la cause . De plus , j' ai remarqué des éruptions cutanées sur ma peau et il m' est difficile de ne pas me gratter .","forte fièvre derniers jours . sais cause . , remarqué éruptions cutanées peau difficile gratter .","je avoir avoir un fort fièvre ce dernier jour . je ne savoir pas ce qui le cause . de plus , je avoir remarquer un éruption cutaner sur mon peau et il me être difficile de ne pas me gratter .","J'ai eu une forte fièvre ces derniers jours. Je ne sais pas ce qui la cause. De plus, j'ai remarqué des éruptions cutanées sur ma peau et il m'est difficile de ne pas me gratter.","J' ai eu une forte fièvre ces derniers jours . Je ne sais pas ce qui la cause . De plus , j' ai remarqué des éruptions cutanées sur ma peau et il m' est difficile de ne pas me gratter .","forte fièvre derniers jours . sais cause . , remarqué éruptions cutanées peau difficile gratter .","je avoir avoir un fort fièvre ce dernier jour . je ne savoir pas ce qui le cause . de plus , je avoir remarquer un éruption cutaner sur mon peau et il me être difficile de ne pas me gratter ."
75,arthrite,"Récemment, les muscles de mon cou sont devenus raides et faibles. Depuis que mes articulations ont enflé, il m'est difficile de courir sans devenir raide. Marcher a également été très désagréable.","Récemment , les muscles de mon cou sont devenus raides et faibles . Depuis que mes articulations ont enflé , il m' est difficile de courir sans devenir raide . Marcher a également été très désagréable .","Récemment , muscles cou devenus raides faibles . articulations enflé , difficile courir devenir raide . Marcher été désagréable .","récemment , le muscle de mon cou être devenir raider et faible . depuis que mon articulation avoir enfler , il me être difficile de courir sans devenir raide . Marcher avoir également être très désagréable .","Récemment, les muscles de mon cou sont devenus raides et faibles. Depuis que mes articulations sont enflées, il est difficile de courir sans devenir raide. Marcher est aussi très désagréable.","Récemment , les muscles de mon cou sont devenus raides et faibles . Depuis que mes articulations sont enflées , il est difficile de courir sans devenir raide . Marcher est aussi très désagréable .","Récemment , muscles cou devenus raides faibles . articulations enflées , difficile courir devenir raide . Marcher désagréable .","récemment , le muscle de mon cou être devenir raider et faible . depuis que mon articulation être enfler , il être difficile de courir sans devenir raide . Marcher être aussi très désagréable .","Récement, les muscl de mon cou son devnu raide et faible. Depui que mes articulation son enflé, il est difisil de courir sans devnir raide. Marché est ossi tré dézagrable.","Récement , les muscl de mon cou son devnu raide et faible . Depui que mes articulation son enflé , il est difisil de courir sans devnir raide . Marché est ossi tré dézagrable .","Récement , muscl cou devnu raide faible . Depui articulation enflé , difisil courir devnir raide . Marché ossi tré dézagrable .","récement , le muscl de mon cou son devnu raide et faible . depui que mon articulation son enflé , il être difisil de courir sans devnir raide . marché être ossi trer dézagrabl ."
596,pneumonie,"Je me sens très mal, avec une forte fièvre, un essoufflement, de la transpiration, des frissons et une extrême fatigue. Mon cœur bat vite, et je tousse beaucoup de mucosités brunâtres.","Je me sens très mal , avec une forte fièvre , un essoufflement , de la transpiration , des frissons et une extrême fatigue . Mon cœur bat vite , et je tousse beaucoup de mucosités brunâtres .","sens mal , forte fièvre , essoufflement , transpiration , frissons extrême fatigue . cœur vite , tousse beaucoup mucosités brunâtres .","je me sentir très mal , avec un fort fièvre , un essoufflement , de le transpiration , un frisson et un extrême fatigue . mon cœur battre vite , et je tousser beaucoup de mucosité brunâtre .","Je me sens très mal, avec une forte fièvre, j'ai du mal à respirer, je transpire, j'ai des frissons et je suis très fatigué. Mon cœur bat vite, et je tousse beaucoup de morve marron.","Je me sens très mal , avec une forte fièvre , j' ai du mal à respirer , je transpire , j' ai des frissons et je suis très fatigué . Mon cœur bat vite , et je tousse beaucoup de morve marron .","sens mal , forte fièvre , mal respirer , transpire , frissons fatigué . cœur vite , tousse beaucoup morve marron .","je me sentir très mal , avec un fort fièvre , je avoir de mal à respirer , je transpir , je avoir un frisson et je être très fatiguer . mon cœur battre vite , et je tousser beaucoup de morve marron .","Je me sens tré mal, avec une forte fièvre, j'ai du mal a respiré, je transpire, j'ai des frissons et je suis tré fatigué. Mon cœur bat vite, et je tousse beaucou de morve marron.","Je me sens tré mal , avec une forte fièvre , j' ai du mal a respiré , je transpire , j' ai des frissons et je suis tré fatigué . Mon cœur bat vite , et je tousse beaucou de morve marron .","sens tré mal , forte fièvre , mal respiré , transpire , frissons tré fatigué . cœur vite , tousse beaucou morve marron .","je me sentir trer mal , avec un fort fièvre , je avoir de mal avoir respirer , je transpir , je avoir un frisson et je être trer fatigué . mon cœur battre vite , et je tousser beaucou de morve marron ."
277,dengue,J'ai des frissons et des tremblements. J'ai une forte douleur dans le dos et aussi derrière les yeux. J'ai aussi remarqué de petites taches rouges sur mon dos et mon cou.,J' ai des frissons et des tremblements . J' ai une forte douleur dans le dos et aussi derrière les yeux . J' ai aussi remarqué de petites taches rouges sur mon dos et mon cou .,frissons tremblements . forte douleur dos yeux . remarqué petites taches rouges dos cou .,je avoir un frisson et de tremblement . je avoir un fort douleur dans le dos et aussi derrière le oeil . je avoir aussi remarquer de petit tache rouge sur mon dos et mon cou .,J'ai froid et je tremble. J'ai très mal au dos et derrière les yeux. J'ai aussi des petits points rouges sur mon dos et mon cou.,J' ai froid et je tremble . J' ai très mal au dos et derrière les yeux . J' ai aussi des petits points rouges sur mon dos et mon cou .,froid tremble . mal dos yeux . petits points rouges dos cou .,je avoir froid et je trembl . je avoir très mal au dos et derrière le oeil . je avoir aussi un petit point rouge sur mon dos et mon cou .,J'ai froi et je tremble. J'ai trè mal au dos et derrière les yeu. J'ai aussi des petit poin rouge sur mon dos et mon cou.,J' ai froi et je tremble . J' ai trè mal au dos et derrière les yeu . J' ai aussi des petit poin rouge sur mon dos et mon cou .,froi tremble . trè mal dos yeu . petit poin rouge dos cou .,je avoir froi et je trembl . je avoir trè mal au dos et derrière le yeu . je avoir aussi un petit poin rouge sur mon dos et mon cou .
68,arthrite,Je me sens vraiment faible dans mes muscles récemment et mon cou est vraiment raide. Il est difficile pour moi de bouger à cause de mes articulations enflées. Marcher est aussi extrêmement douloureux.,Je me sens vraiment faible dans mes muscles récemment et mon cou est vraiment raide . Il est difficile pour moi de bouger à cause de mes articulations enflées . Marcher est aussi extrêmement douloureux .,sens vraiment faible muscles récemment cou vraiment raide . difficile bouger cause articulations enflées . Marcher extrêmement douloureux .,je me sentir vraiment faible dans mon muscle récemment et mon cou être vraiment raide . il être difficile pour moi de bouger à cause de mon articulation enfler . Marcher être aussi extrêmement douloureux .,Je me sens très faible dans mes muscles récemment et mon cou est très raide. C'est dur de bouger à cause de mes articulations gonflées. Marcher fait aussi très mal.,Je me sens très faible dans mes muscles récemment et mon cou est très raide . C' est dur de bouger à cause de mes articulations gonflées . Marcher fait aussi très mal .,sens faible muscles récemment cou raide . dur bouger cause articulations gonflées . Marcher mal .,je me sentir très faible dans mon muscle récemment et mon cou être très raide . ce être dur de bouger à cause de mon articulation gonfler . Marcher faire aussi très mal .,Je me sens tré faible dans mes musclé récement et mon cou est tré raide. C'est dur de bouger a cause de mes articulation gonflé. Marcher fais aussi tré mal.,Je me sens tré faible dans mes musclé récement et mon cou est tré raide . C' est dur de bouger a cause de mes articulation gonflé . Marcher fais aussi tré mal .,sens tré faible musclé récement cou tré raide . dur bouger cause articulation gonflé . Marcher tré mal .,je me sentir tré faible dans mon musclé récement et mon cou être trer raide . ce être dur de bouger avoir cause de mon articulation gonfler . Marcher fai aussi trer mal .
554,ulcère gastroduodénal,"J'ai parfois des brûlures dans le haut de mon abdomen pendant la journée ou la nuit. J'ai des brûlures d'estomac, des indigestions et des épisodes réguliers de nausées sévères.","J' ai parfois des brûlures dans le haut de mon abdomen pendant la journée ou la nuit . J' ai des brûlures d' estomac , des indigestions et des épisodes réguliers de nausées sévères .","brûlures haut abdomen journée nuit . brûlures estomac , indigestions épisodes réguliers nausées sévères .","je avoir parfois un brûlure dans le haut de mon abdomen pendant le journée ou le nuit . je avoir un brûlure de estomac , un indigestion et de épisode régulier de nausée sévère .","Parfois, j'ai mal dans le haut de mon ventre pendant la journée ou la nuit. J'ai des brûlures d'estomac, des maux de ventre et je me sens souvent très malade.","Parfois , j' ai mal dans le haut de mon ventre pendant la journée ou la nuit . J' ai des brûlures d' estomac , des maux de ventre et je me sens souvent très malade .",", mal haut ventre journée nuit . brûlures estomac , maux ventre sens malade .","parfois , je avoir mal dans le haut de mon ventre pendant le journée ou le nuit . je avoir un brûlure de estomac , de mal de ventre et je me sentir souvent très malade .","Parfoi, j'ai mal dans le haut de mon ventre pendant la journé ou la nuit. J'ai des brulure d'estomac, des maux de ventre et je me sens souvent tré malade.","Parfoi , j' ai mal dans le haut de mon ventre pendant la journé ou la nuit . J' ai des brulure d' estomac , des maux de ventre et je me sens souvent tré malade .","Parfoi , mal haut ventre journé nuit . brulure estomac , maux ventre sens tré malade .","Parfoi , je avoir mal dans le haut de mon ventre pendant le journé ou le nuit . je avoir un brulure de estomac , de mal de ventre et je me sentir souvent trer malade ."
188,varicelle,J'ai une forte fièvre et un mal de tête sévère. Je ne peux rien manger et j'ai envie de vomir. Il y a aussi des taches rouges qui apparaissent sur mes bras. Je suis vraiment inquiet.,J' ai une forte fièvre et un mal de tête sévère . Je ne peux rien manger et j' ai envie de vomir . Il y a aussi des taches rouges qui apparaissent sur mes bras . Je suis vraiment inquiet .,forte fièvre mal tête sévère . rien manger envie vomir . taches rouges apparaissent bras . vraiment inquiet .,je avoir un fort fièvre et un mal de tête sévère . je ne pouvoir rien manger et je avoir envier de vomir . il y avoir aussi un tache rouge qui apparaître sur mon bras . je être vraiment inquiet .,J'ai une grosse fièvre et un très fort mal de tête. Je ne peux rien manger et j'ai envie de vomir. Il y a aussi des taches rouges sur mes bras. Je suis vraiment inquiet.,J' ai une grosse fièvre et un très fort mal de tête . Je ne peux rien manger et j' ai envie de vomir . Il y a aussi des taches rouges sur mes bras . Je suis vraiment inquiet .,grosse fièvre fort mal tête . rien manger envie vomir . taches rouges bras . vraiment inquiet .,je avoir un gros fièvre et un très fort mal de tête . je ne pouvoir rien manger et je avoir envier de vomir . il y avoir aussi un tache rouge sur mon bras . je être vraiment inquiet .,J'ai une grose fièvre et un tré for mal de tête. Je peu rien manger et j'ai envie de vomir. Il y a aussi des taches rouges sur mes bras. Je suis vraimen inquiet.,J' ai une grose fièvre et un tré for mal de tête . Je peu rien manger et j' ai envie de vomir . Il y a aussi des taches rouges sur mes bras . Je suis vraimen inquiet .,grose fièvre tré for mal tête . rien manger envie vomir . taches rouges bras . vraimen inquiet .,je avoir un grose fièvre et un tré for mal de tête . je peu rien manger et je avoir envier de vomir . il y avoir aussi un tache rouge sur mon bras . je être vraimen inquiet .
271,dengue,Je me sens malade et j'ai un fort besoin de vomir. J'ai une douleur aiguë derrière les yeux et des points rouges gonflés partout sur le dos.,Je me sens malade et j' ai un fort besoin de vomir . J' ai une douleur aiguë derrière les yeux et des points rouges gonflés partout sur le dos .,sens malade fort besoin vomir . douleur aiguë yeux points rouges gonflés partout dos .,je me sentir malade et je avoir un fort besoin de vomir . je avoir un douleur aigu derrière le oeil et de point rouge gonfler partout sur le dos .,Je me sens malade et j'ai envie de vomir. J'ai une douleur aiguë derrière les yeux et des points rouges gonflés partout sur le dos.,Je me sens malade et j' ai envie de vomir . J' ai une douleur aiguë derrière les yeux et des points rouges gonflés partout sur le dos .,sens malade envie vomir . douleur aiguë yeux points rouges gonflés partout dos .,je me sentir malade et je avoir envier de vomir . je avoir un douleur aigu derrière le oeil et de point rouge gonfler partout sur le dos .,Je me sens malade et j'ai envie de vomir. J'ai une douleur aiguë derrière les yeux et des points rouge gonflé par tou sur le dos.,Je me sens malade et j' ai envie de vomir . J' ai une douleur aiguë derrière les yeux et des points rouge gonflé par tou sur le dos .,sens malade envie vomir . douleur aiguë yeux points rouge gonflé tou dos .,je me sentir malade et je avoir envier de vomir . je avoir un douleur aigu derrière le oeil et de point rouge gonfler par tou sur le dos .
236,rhume,Je suis très fatigué et malade. J'ai une toux sévère et une gorge douloureuse. J'ai beaucoup de frissons et une température élevée. Je me sens simplement fatigué et épuisé.,Je suis très fatigué et malade . J' ai une toux sévère et une gorge douloureuse . J' ai beaucoup de frissons et une température élevée . Je me sens simplement fatigué et épuisé .,fatigué malade . toux sévère gorge douloureuse . beaucoup frissons température élevée . sens simplement fatigué épuisé .,je être très fatiguer et malade . je avoir un toux sévère et un gorge douloureux . je avoir beaucoup de frisson et un température élevé . je me sentir simplement fatiguer et épuiser .,Je suis très fatigué et malade. J'ai une grosse toux et ma gorge me fait mal. J'ai beaucoup de frissons et une forte fièvre. Je me sens simplement fatigué et épuisé.,Je suis très fatigué et malade . J' ai une grosse toux et ma gorge me fait mal . J' ai beaucoup de frissons et une forte fièvre . Je me sens simplement fatigué et épuisé .,fatigué malade . grosse toux gorge mal . beaucoup frissons forte fièvre . sens simplement fatigué épuisé .,je être très fatiguer et malade . je avoir un gros toux et mon gorge me faire mal . je avoir beaucoup de frisson et un fort fièvre . je me sentir simplement fatiguer et épuiser .,Je sui tré fatigué et malade. J'ai une grose toux et ma gorge me fais mal. J'ai beaucou de frison et une forte fièvre. Je me sen simplemen fatigué et épuisé.,Je sui tré fatigué et malade . J' ai une grose toux et ma gorge me fais mal . J' ai beaucou de frison et une forte fièvre . Je me sen simplemen fatigué et épuisé .,sui tré fatigué malade . grose toux gorge mal . beaucou frison forte fièvre . sen simplemen fatigué épuisé .,je sui trer fatigué et malade . je avoir un grose toux et mon gorge me faire mal . je avoir beaucou de frison et un fort fièvre . je me sen simplemen fatiguer et épuiser .
